rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0105	c0108	c0109	e0081	1.13.11.5	C00544		C01036	C01061
r0107	c0110	c0069	e0083	3.7.1.2	C01061	C01036	C00164	
r0252	c0223	c0108	e0198	1.14.13.-	C05852		C00544	
r1731	c1495	c1496	e1161	5.3.3.18	C20062		C19975	
r1732	c1496	c1497	e1162	3.7.1.16	C19975		C19945	
r0036	c0211	c0223	e0197	1.14.14.-	C07086		C05852	
r0106	c0109	c0110	e0082	5.2.1.2	C01036	C01061	C01061	C01036
r1729	c0211	c1494	e1159	6.2.1.30	C07086		C00582	
r1730	c1494	c1495	e1160	1.14.13.149	C00582		C20062	
r1733	c1497	c0031	e0653	2.3.1.16	C19945		C00024	
