rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0269	c0279	c0121	e0101	1.2.1.28	C00193	C00261	C00180	C00539
r0100	c0101	c0159	e0077	4.1.3.39	C03589		C00022	
r0101	c0102	c0101	e0078	4.2.1.80	C00596		C03589	
r0261	c0281	c0125	e0222	1.14.13.-	C01542		C02923	
r0263	c0284	c0102	e0223	3.7.1.-	C06210		C00596	
r0267	c0278	c0279	e0019	1.1.1.90	C00556	C03485	C00193	C00261
r0273	c0285	c0104	e0226	1.2.1.64	C00633		C00156	
r0271	c0282	c0125	e0224	1.14.-.-	C01467		C02923	
r0272	c0127	c0285	e0147	1.17.99.1	C01468		C00633	
r0253	c0114	c0283	e0155	1.14.12.11	C01455		C04592	
r0255	c0114	c0127	e0225	1.14.13.-	C01455		C01468	
r0260	c0114	c0281	e0222	1.14.13.-	C01455		C01542	
r0262	c0125	c0284	e0156	1.13.11.2	C02923		C06210	
r0265	c0114	c0278	e0172	1.14.13.-	C01455		C00556	C03485
r0270	c0114	c0282	e0224	1.14.-.-	C01455		C01467	
r0254	c0283	c0125	e0060	1.3.1.19	C04592		C02923	
